,Stock,Price,Needle strength,Compilation,URL
DMC Cotton Natura N01 Ibiza,out of product range,"4,62",2.5-3.5 mm,100% Baumwolle,https://www.wollplatz.de/wolle/dmc/dmc-justcotton
DMC Natura Linen 001 Off White,out of product range,"5,31","3-3,5 mm","58% Leinen, 26% Viskose, 16% Baumwolle ",https://www.wollplatz.de/wolle/dmc/dmc-natura-linen
DMC Natura Medium 01 Blanc,out of product range,"4,33",4-5 mm,100% Baumwolle,https://www.wollplatz.de/wolle/dmc/dmc-natura-medium
DMC Natura XL 02 Black,1 left,"8,46",8 mm,100% Baumwolle,https://www.wollplatz.de/wolle/dmc/dmc-natura-xl
Drops Air Mix 02 Wheat,in stock,"3,94",5 mm,"65% Alpakawolle, 28% Polyamid, 7% Wolle ",https://www.wollplatz.de/wolle/drops/drops-air-mix
Drops Air Uni Colour 01 Off-white,out of stock for now,"3,94",5 mm,"65% Alpakawolle, 28% Polyamid, 7% Wolle ",https://www.wollplatz.de/wolle/drops/drops-air-uni-colour
Drops Alaska Mix 03 Hellgrau,in stock,"1,46",5 mm,100% Wolle,https://www.wollplatz.de/wolle/drops/drops-alaska
Drops Alaska Uni Colour 02 Off-white,in stock,"1,46",5 mm,100% Wolle,https://www.wollplatz.de/wolle/drops/drops-alaska-uni-colour
Drops Alpaca Bouclé Mix 517 Grau,out of stock for now,"3,13",5 mm,"80% Alpakawolle, 15% Wolle, 5% Polyamid",https://www.wollplatz.de/wolle/drops/drops-alpaca-boucle-mix
Drops Alpaca Bouclé Uni Colour 100 Natur,in stock,"3,13",5 mm,"80% Alpakawolle, 15% Wolle, 5% Polyamid",https://www.wollplatz.de/wolle/drops/drops-alpaca-boucle-uni-colour
Drops Alpaca Mix 501 Hellgrau,out of stock for now,"2,68","2,5-3,5 mm",100% Alpakawolle,https://www.wollplatz.de/wolle/drops/drops-alpaca-mix
Drops Alpaca Uni Colour 100 Natur,in stock,"2,53","2,5-3,5 mm",100% Alpakawolle,https://www.wollplatz.de/wolle/drops/drops-alpaca
Drops Andes Mix 206 Hellbeige,in stock,"3,68",9 mm,"65% Wolle, 35% Alpakawolle",https://www.wollplatz.de/wolle/drops/drops-andes-mix
Drops Andes Uni Colour 100 Natur,in stock,"3,68",9 mm,"65% Wolle, 35% Alpakawolle",https://www.wollplatz.de/wolle/drops/drops-andes-uni-colour
Drops Baby Merino Mix 17 Beige,in stock,"2,33",3 mm,100% Merinowolle,https://www.wollplatz.de/wolle/drops/drops-baby-merino-mix
Drops Baby Merino Uni Colour 01 Weiss,in stock,"2,33","2,5-3,5 mm",100% Merinowolle,https://www.wollplatz.de/wolle/drops/drops-baby-merino-uni-colour
Drops BabyAlpaca Silk Uni Colour 0100 Off-white,out of product range,"4,58",3.5 mm,"70% Alpakawolle, 30% Seide ",https://www.wollplatz.de/wolle/drops/drops-babyalpaca-silk-uni-colour
Drops Belle Uni Colour 01 White,in stock,"1,53",4 mm,"53% Baumwolle, 33% Viskose, 14% Leinen",https://www.wollplatz.de/wolle/drops/drops-belle-uni-colour
Drops Big Delight 01 Rose-garden,out of product range,"5,48",5 mm,100% Wolle,https://www.wollplatz.de/wolle/drops/drops-big-delight
Drops Big Merino Mix 02 Grau,in stock,"2,33",5 mm,100% Merinowolle,https://www.wollplatz.de/wolle/drops/drops-big-merinomix
Drops Big Merino Uni Colour 01 Off-white,out of stock for now,"2,33",5 mm,100% Merinowolle,https://www.wollplatz.de/wolle/drops/drops-big-merino-uni-colour
Drops Bomull-Lin Uni Colour 01 White,out of stock for now,"1,98",5 mm,"53% Baumwolle, 47% Leinen",https://www.wollplatz.de/wolle/drops/drops-bomull-lin-uni-colour
Drops Brushed Alpaca Silk Uni Colour 01 Off-white,in stock,"2,07",5 mm,"77% Alpakawolle, 23% Seide",https://www.wollplatz.de/wolle/drops/drops-brushed-alpaca-silk-uni-colour
Drops Cotton Light Uni Colour 01 Off-white,in stock,"0,96",4 mm,"50% Baumwolle, 50% Polyester",https://www.wollplatz.de/wolle/drops/drops-cotton-light-uni-colour
Drops Cotton Merino Uni Colour 1 Natur,in stock,"2,59",4 mm,"50% Merinowolle, 50% Baumwolle",https://www.wollplatz.de/wolle/drops/drops-cotton-merino-uni-colour
Drops Delight 01 Grey,in stock,"2,53",3.5 mm,"75% Wolle, 25% Polyamid",https://www.wollplatz.de/wolle/drops/drops-delight
Drops Fabel Long Print 602 Silver-fox,in stock,"2,63",3 mm,"75% Wolle, 25% Polyamid",https://www.wollplatz.de/wolle/sockenwolle/drops-fabel-long-print
Drops Fabel Print 151 Guacamole,in stock,"2,43",3 mm,"75% Wolle, 25% Polyamid",https://www.wollplatz.de/wolle/sockenwolle/drops-fabel-print
Drops Fabel Uni Colour 100 Off White,in stock,"2,23",3 mm,"75% Wolle, 25% Polyamid",https://www.wollplatz.de/wolle/dropsdrops-fabel-uni-colour
Drops Flora Mix 03 Light grey,in stock,"2,22",3 mm,"65% Wolle, 35% Alpakawolle",https://www.wollplatz.de/wolle/drops/drops-flora-mix
Drops Flora Uni Colour 01 Off White,in stock,"2,09",3 mm,"65% Wolle, 35% Alpakawolle",https://www.wollplatz.de/wolle/drops/drops-flora-uni-colour
Drops Glitter Colours 8 Red,in stock,"1,78",no data,"60% Cupro, 40% Metall",https://www.wollplatz.de/wolle/drops/drops-glitter-colours
Drops Glitter Gold & Silver 01 Gold,in stock,"1,78",no data,"60% Cupro, 40% Metall",https://www.wollplatz.de/wolle/drops/drops-glitter-gold-silver
Drops Karisma Mix 16 Dark-grey,in stock,"1,73",4 mm,100% Wolle,https://www.wollplatz.de/wolle/drops/drops-karisma-mix
Drops Karisma Uni Colour 01 Off-white,in stock,"1,73",4 mm,100% Wolle,https://www.wollplatz.de/wolle/drops/drops-karisma-uni-colour
Drops Kid-Silk Long Print 25 Sea-green,out of stock for now,"3,11",3.5 mm,"75% Mohair, 25% Seide ",https://www.wollplatz.de/wolle/drops/drops-kid-silk-long-print
Drops Kid-Silk Uni Colour 01 Off-white,out of stock for now,"3,11",3.5 mm,"75% Mohair, 25% Seide ",https://www.wollplatz.de/wolle/drops/drops-kid-silk-uni-colour
Drops Lima Mix 206 Hellbeige,out of stock for now,"2,22",4 mm,"65% Wolle, 35% Alpakawolle",https://www.wollplatz.de/wolle/drops/drops-lima-mix
Drops Lima Uni Colour 100 Natur,out of stock for now,"2,09",4 mm,"65% Wolle, 35% Alpakawolle",https://www.wollplatz.de/wolle/drops/drops-lima-uni-colour
Drops Magic Summer CAL Garnpaket 2,in stock soon,"54,09",no data,no data,https://www.wollplatz.de/pakete/andere-pakete/garenpakketten/drops-magic-summer-cal-garnpaket
Drops Melody Uni Colour 01 Off-white,in stock,"3,92",8 mm,"71% Alpakawolle, 25% Wolle, 4% Polyamid",https://www.wollplatz.de/wolle/drops/drops-melody-uni-colour
Drops Merino Extra Fine Mix 03 Dunkelgrau,in stock,"2,33",4 mm,100% Merinowolle,https://www.wollplatz.de/wolle/drops/drops-merino-extrafine-mix
Drops Merino Extra Fine Uni Colour 01 Natur,in stock,"2,33",4 mm,100% Merinowolle,https://www.wollplatz.de/wolle/drops/drops-merino-extrafine-uni
Drops Muskat Uni Colour 01 Light-blue-purple,in stock,"1,49",4 mm,100% Baumwolle,https://www.wollplatz.de/wolle/drops/drops-muskat-uni-colour
Drops Nepal Mix 206 Hellbeige,in stock,"2,22",5 mm,"65% Wolle, 35% Alpakawolle",https://www.wollplatz.de/wolle/drops/drops-nepal-mix
Drops Nepal Uni Colour 100 Natur,in stock,"2,09",5 mm,"65% Wolle, 35% Alpakawolle",https://www.wollplatz.de/wolle/drops/drops-nepal-uni-colour
Drops Nord Mix 03 Pearl Grey,out of stock for now,"1,83",3 mm,"45% Alpakawolle, 30% Polyamid, 25% Wolle",https://www.wollplatz.de/wolle/drops/drops-nord-mix
Drops Nord Uni Colour 01 Off-white,in stock,"1,78",3 mm,"45% Alpakawolle, 30% Polyamid, 25% Wolle",https://www.wollplatz.de/wolle/drops/drops-nord-uni-colour
Drops Paris 1 Apricot,in stock,"0,98",5 mm,100% Baumwolle,https://www.wollplatz.de/wolle/drops/drops-paris
Drops Paris Recycled Denim 100 Light-wash,in stock,"0,88",5 mm,100% Recycelte Baumwolle,https://www.wollplatz.de/wolle/drops/drops-paris-recycled-denim
Drops Polaris Mix 05 Taupe,in stock,"4,89",12 mm,100% Wolle,https://www.wollplatz.de/wolle/drops/drops-polaris-mix
Drops Polaris Uni Colour 01 Off-white,in stock,"4,17",12 mm,100% Wolle,https://www.wollplatz.de/wolle/drops/drops-polaris-uni-colour
Drops Puna Natural 01 Off-White,out of stock for now,"2,13",4 mm,100% Alpakawolle,https://www.wollplatz.de/wolle/drops/drops-puna-natural
Drops Puna Natural Mix 02 Beige,out of stock for now,"2,13",4 mm,100% Alpakawolle,https://www.wollplatz.de/wolle/drops/drops-puna-natural-mix
Drops Puna Uni Colour 10 Altrosa,out of product range,"2,48",4 mm,100% Alpakawolle,https://www.wollplatz.de/wolle/drops/drops-puna-uni-colour
Drops Safran 1 Light-pink,in stock,"1,08",3 mm,100% Baumwolle,https://www.wollplatz.de/wolle/drops/drops-safran
Drops Sky Mix 02 Light Grey,out of stock for now,"4,08",4 mm,"74% Alpakawolle, 18% Polyamid, 8% Wolle",https://www.wollplatz.de/wolle/drops/drops-sky-mix
Drops Sky Uni Colour 01 White,in stock,"4,08",4 mm,"74% Alpakawolle, 18% Polyamid, 8% Wolle",https://www.wollplatz.de/wolle/drops/drops-sky-uni-colour
Drops Snow (Eskimo) Mix 21 Blue shadow,in stock,"1,78",9 mm,100% Wolle,https://www.wollplatz.de/wolle/drops/drops-eskimo
Drops Snow (Eskimo) Print 19 Spice,out of product range,"2,18",9 mm,100% Wolle,https://www.wollplatz.de/wolle/drops/drops-eskimo-print
Drops Snow (Eskimo) Uni Colour 01 Off white,in stock,"1,53",9 mm,100% Wolle,https://www.wollplatz.de/wolle/drops/drops-eskimo-uni-colour
Durable Stick- und Häkelbaumwollgarn 1000 White,in stock,"2,36","1-1,5 mm",100% Baumwolle,https://www.wollplatz.de/wolle/durable/durable-stick-hakelbaumwollgarn
Durable Häkelgarn Nr. 10 09 Weiss,in stock,"3,88","2-2,5 mm",100% Baumwolle,https://www.wollplatz.de/wolle/durable/durable-haekelgarn-10
Durable Häkelgarn Nr. 12 09 Weiss,in stock,"3,88","1,5-2 mm",100% Baumwolle,https://www.wollplatz.de/wolle/durable/durable-haekelgarn-12
Durable Häkelgarn Nr. 8 09 Weiss,in stock,"3,88","2,5-3 mm",100% Baumwolle,https://www.wollplatz.de/wolle/durable/durable-haekelgarn-8
Durable Chunky 326 Ivory,in stock,"8,80",9-15 mm,100% Wolle,https://www.wollplatz.de/wolle/durable/durable-chunky
Durable Coral 203 Light Pink,in stock,"2,41","2,5-3 mm",100% Mercerisierte Baumwolle,https://www.wollplatz.de/wolle/durable/durable-coral
Durable Coral Alle Farben Paket,in stock,"192,27","2,5-3 mm",100% Mercerisierte Baumwolle,https://www.wollplatz.de/pakete/andere-pakete/vorteilspakete/durable-coral-alle-farben-paket
Durable Cosy 204 Light Pink,in stock,"3,54",5-7 mm,"50% Baumwolle, 50% Polyacryl",https://www.wollplatz.de/wolle/durable/durable-cosy
Durable Cosy Extra Fine 203 Light Pink,in stock,"3,20",3-4 mm,"58% Baumwolle, 42% Acryl ",https://www.wollplatz.de/wolle/durable/durable-cosy-extra-fine
Durable Cosy Fine 203 Light Pink,in stock,"3,20","4 - 4,5 mm","58% Baumwolle, 42% Polyacryl ",https://www.wollplatz.de/wolle/durable/durable-cosy-fine
Durable Double Four 203 Light Pink,in stock,"4,52","4,5-5 mm",100% Baumwolle,https://www.wollplatz.de/wolle/durable/durable-double-four
Durable Forest 4000 Grey,in stock,"4,87","2,5-3 mm","45% Acryl, 37% Merinowolle, 18% Seide",https://www.wollplatz.de/wolle/durable/durable-forest
Durable Furry 225 Vintage Pink,in stock,"4,87",8 mm,100% Polyester,https://www.wollplatz.de/wolle/synthetisch/durable-furry
Durable Glam 203 Light pink,in stock,"3,84",4 mm,"75% Baumwolle, 25% Polyester ",https://www.wollplatz.de/wolle/durable/durable-glam
Durable Glanzbaumwolle Nr. 10 09 Weiss,in stock,"4,82","2-2,5 mm",100% Baumwolle,https://www.wollplatz.de/wolle/durable/durable-glanzbaumwolle-10
Durable Glanzbaumwolle Nr. 12 09 Weiss,out of stock for now,"4,82","1,5-2 mm",100% Baumwolle,https://www.wollplatz.de/wolle/durable/durable-glanzbaumwolle-12
Durable Glanzbaumwolle Nr. 8 09 Weiss,in stock,"4,82","2,5-3 mm",100% Baumwolle,https://www.wollplatz.de/wolle/durable/durable-glanzbaumwolle-no-8
Durable Latch Hook Yarn 204 Light Pink,in stock,"2,94",no data,"50% Baumwolle, 50% Polyacryl",https://www.wollplatz.de/wolle/durable/durable-latch-hook-yarn
Durable Macramé 203 Light Pink,in stock,"4,82",4 - 5 mm,100% Baumwolle,https://www.wollplatz.de/wolle/durable/durable-macrame
Durable Soqs 211 Peach,in stock,"3,54","2,5-3 mm","75% Wolle, 25% Polyamid",https://www.wollplatz.de/wolle/durable/durable-soqs
Durable Teddy 210 Powder pink,in stock,"3,39",5-6 mm,100% Polyamide,https://www.wollplatz.de/wolle/durable/durable-teddy
Go Handmade Cosy 62 Off-white,out of stock for now,"3,93",4 mm,"60% Baumwolle, 40% Acryl ",https://www.wollplatz.de/wolle/go-handmade/go-handmade-cosy
Go Handmade Couture 01 Dirty Beige,out of stock for now,"3,93",4-5 mm,100% Acryl,https://www.wollplatz.de/wolle/go-handmade/go-handmade-couture
Go Handmade Soft 20 Off-White,in stock,"5,11",3-4 mm,"70% Bambus, 23% Baumwolle, 7% Acryl ",https://www.wollplatz.de/wolle/go-handmade/go-handmade-soft
Go Handmade Teddy 16 Beige,out of stock for now,"3,93",4-5 mm,100% Polyester,https://www.wollplatz.de/wolle/go-handmade/go-handmade-teddy
Go Handmade Vintage 32 Off White,in stock,"3,93",3-4 mm,"70% Wolle, 30% Bambus",https://www.wollplatz.de/wolle/go-handmade/go-handmade-vintage
Gütermann Transparent 200m,in stock,"3,54",no data,no data,https://www.wollplatz.de/amigurumi/gummibaender-kordel/guetermann-transparent
Hoooked Eucalyps 07 Magenta,out of product range,"7,86",4-5 mm,100% Pflanzich,https://www.wollplatz.de/wolle/hoooked/hoooked-eucalyps
Hoooked Natural Jute 01 Cinnamon Taupe ,out of product range,"9,82",10-15 mm,100% Jute,https://www.wollplatz.de/wolle/hoooked/hoooked-natural-jute
Hoooked RibbonXL 2 Lila Dusk,out of product range,"8,84",8-12 mm,"80% Recycelten Baumwolle, 20% Andere Rohstoffe",https://www.wollplatz.de/wolle/hoooked/hoooked-ribbonxl
Hoooked RibbonXL Lurex 3 Black Sparkle,out of product range,"12,78",8-12 mm,"60% Recycelten Baumwolle, 20% Recycelten Fasern, 20% Lurex ",https://www.wollplatz.de/artikel/6413/hoooked-ribbonxl-lurex.html
Hoooked Spesso Chunky Cotton 100 Almond,out of product range,"9,82",8-10 mm,"85% Baumwolle, 15% Recycelten Fasern",https://www.wollplatz.de/wolle/hoooked/hoooked-spesso-chunky-cotton
Katia Air Alpaca Degradé 062 Brown,out of product range,"7,82","5-6,5 mm",,https://www.wollplatz.de/wolle/katia/katia-air-alpaca-degrade
Katia Alaska 1 White,in stock,"3,88","6-6,5 mm",100% Acryl,https://www.wollplatz.de/wolle/katia/katia-alaska
Katia Alpaca Silver 259 Burgundy red silver,out of product range,"5,41","3-3,5 mm","73% Alpakawolle, 20% Polyamid, 7% Polyester ",https://www.wollplatz.de/wolle/katia/katia-alpaca-silver
Katia Azteca 801 Grey,in stock,"8,80","5-5,5 mm","53% Wolle, 47% Acryl",https://www.wollplatz.de/wolle/katia/katia-azteca
Katia Baby Alpaca 100% 509 Brown,out of product range,"8,80",3.5-4 mm,100% Baby Alpaka,https://www.wollplatz.de/wolle/katia/katia-baby-alpaca-100
Katia Basic Merino 1 White,in stock,"3,88","3,5-4 mm","52% Merinowolle, 48% Acryl",https://www.wollplatz.de/wolle/katia/katia-basicmerino
Katia Canada 9 Dark Brown,out of product range,"3,88",7-8 mm,100% Acryl,https://www.wollplatz.de/wolle/synthetisch/katia-canada
Katia Capri 50 White,in stock,"2,16","2,5-3 mm",100% Baumwolle,https://www.wollplatz.de/wolle/katia/katia-capri
Katia Capri Plus 101 Multicolour Pistachio,out of product range,"3,25","2,5-3 mm",100% Baumwolle,https://www.wollplatz.de/wolle/katia/katia-capri-plus
Katia Catena Merino Fine 256 Pastel green,out of product range,"3,88","3-3,5 mm","78% Merinowolle, 22% Polyamid",https://www.wollplatz.de/wolle/katia/katia-catena-merino-fine
Katia Cotton Alpaca 80 White,out of product range,"5,41","3,5-4 mm","85% Baumwolle, 15% Alpakawolle",https://www.wollplatz.de/wolle/katia/katia-cotton-alpaca
Katia Cotton Cashmere 50 Rose,out of product range,"6,39","2,5-3,5 mm","90% Baumwolle, 10% Kaschmir ",https://www.wollplatz.de/wolle/katia/katia-cotton-cashmere
Katia Cotton-Merino 59 Black,out of stock for now,"4,97","4,5 - 5 mm","70% Baumwolle, 30% Schurwolle",https://www.wollplatz.de/wolle/katia/katia-cotton-merino
Katia Cotton-Merino Plus 205 Blue,out of stock for now,"5,85",4.5 / 5 mm,"70% Baumwolle, 30% Schurwolle",https://www.wollplatz.de/wolle/katia/katia-cotton-merino-plus
Katia Cotton-Yak 105 Red,out of product range,"5,85","3,5-4 mm","60% Baumwolle, 30% Wolle, 10% Yak ",https://www.wollplatz.de/wolle/katia/katia-cotton-yak
Katia Degradé Sun 254 Lila / Red,out of product range,"4,87","3-3,5 mm",100% Baumwolle,https://www.wollplatz.de/wolle/katia/katia-degrade-sun
Katia Duomo 95 Light Blue,out of product range,"5,85",4-5 mm,"66% Viskose, 34% Baumwolle",https://www.wollplatz.de/wolle/katia/katia-duomo
Katia Fair Cotton 01 White,in stock,"4,62","2,5-3,5 mm",100% Biologische Baumwolle,https://www.wollplatz.de/wolle/katia/katia-fair-cotton
Katia Ingenious Big 072 Very light rose,out of product range,"9,79",10-15 mm,"40% Acryl, 30% Mohair, 30% Polyamid",https://www.wollplatz.de/wolle/katia/katia-ingenious-big
Katia Ingenua 2 Black,in stock,"7,82","5-5,5 mm","78% Mohair, 13% Polyamid, 9% Merinowolle",https://www.wollplatz.de/wolle/katia/katia-ingenua
Katia Ingenua Tweed 101 Brown,out of product range,"7,18","4,5-5 mm","59% Mohair, 17% Baumwolle, 17% Polyamid, 7% Wolle",https://www.wollplatz.de/wolle/katia/katia-ingenua-tweed
Katia Jaipur Soft 107 Red / Medium Purple / Yellow,out of product range,"4,43",2-2.5 mm,100% Baumwolle,https://www.wollplatz.de/wolle/katia/katia-jaipur-soft
Katia Kena 83 Black,out of product range,"3,93","4,5 - 5 mm","78% Alpakawolle, 22% Polyamid",https://www.wollplatz.de/wolle/katia/katia-kena
Katia Lagom 100 Very light grey,in stock,"5,85",4-5 mm,"47% Merinowol, 40% Katoen, 13% Polyamide",https://www.wollplatz.de/wolle/katia/katia-lagom
Katia Lincys 301,out of product range,"6,84","3,5-4 mm",100% Leinen,https://www.wollplatz.de/wolle/katia/katia-lincys
Katia Love Denim 106 Khaki,out of product range,"6,39",6-8 mm,"95% Baumwolle, 5% Andere Fasern",https://www.wollplatz.de/wolle/katia/katia-love-denim
Katia Love Wool 102 Medium beige,out of product range,"8,46",12-15 mm,"85% Wolle, 15% Alpakawolle ",https://www.wollplatz.de/wolle/katia/katia-love-wool
Katia Magic Diamonds 050 Brown / Ecru,out of product range,"11,75",5-6 mm,"50% Wol, 42% Acryl, 8% Polyamide",https://www.wollplatz.de/wolle/katia/katia-magic-diamonds
Katia Magic Diamonds Flash 104 Brown-Off-white-Rust-Blue,out of product range,"13,72",5-6 mm,"70% Wolle, 20% Acryl, 10% Polyamid",https://www.wollplatz.de/wolle/katia/katia-magic-diamonds-flash
Katia Maxi Merino 4 Brown,out of product range,"5,85","5,5-6 mm","55% Schurwolle, 45% Acryl ",https://www.wollplatz.de/wolle/katia/katia-maxi-merino
Katia Melody Color 304 Beige / Blue / Grey,out of product range,"13,72","5,5-6 mm","90% Merinowolle, 10% Polyamid",https://www.wollplatz.de/wolle/katia/katia-melody-color
Katia Melody Jacquard Print 505 Off-white-Blue-Ochre,out of product range,"14,70","5,5-6 mm","90% Wolle, 10% Polyamid ",https://www.wollplatz.de/wolle/katia/katia-melody-jacquard-print
Katia Merino 100% 2 Black,out of product range,"5,85","4-4,5 mm",100% Merinowolle,https://www.wollplatz.de/wolle/katia/katia-merino-100
Katia Merino Aran 1 White,in stock,"6,84","4,5-5,5 mm","52% Merinowolle, 48% Polyacryl",https://www.wollplatz.de/wolle/katia/katia-merino-aran
Katia Merino Baby 1 White,in stock,"5,85","3-3,5 mm",100% Merinowolle,https://www.wollplatz.de/wolle/katia/katia-merino-baby
Katia Merino Sport 1,in stock,"5,85","5-5,5 mm",100% Merinowolle,https://www.wollplatz.de/wolle/katia/katia-merino-sport
Katia Merino Tweed 300 Off White,in stock,"4,43","4,5-5,5 mm","51% Merinowolle, 43% Acryl, 6% Viskose",https://www.wollplatz.de/wolle/katia/katia-merino-tweed
Katia Montana 070 Sky blue-Stone grey,1 left,"5,85","5,5-6 mm","32% Wolle, 22% Baumwolle, 21% Polyamid, 15% Viskose, 5% Alpakawolle, 5% Acryl",https://www.wollplatz.de/wolle/katia/katia-montana
Katia Neon 502 Yellow-Green,out of product range,"17,21",4-5 mm,"50% Baumwolle, 50% Acryl",https://www.wollplatz.de/wolle/katia/katia-neon
Katia Pisco 403 Dark grey,out of product range,"7,82","4-4,5 mm","90% Alpakawolle, 10% Polyamid ",https://www.wollplatz.de/wolle/katia/katia-pisco
Katia Polar 80 Off White,in stock,"8,80",7-8 mm,100% Polyester,https://www.wollplatz.de/wolle/katia/katia-polar
Katia Puno 72,1 left,"16,67",12-15 mm,"75% Alpaca, 25% Polyamide",https://www.wollplatz.de/wolle/katia/katia-puno
Katia Seta 50 83,out of product range,"7,82","3,5-4,5 mm","50% Zijde, 50% Viscose",https://www.wollplatz.de/wolle/katia/katia-seta-50
Katia Silky Lace 150 Fawn brown,out of product range,"7,47","3-3,5 mm","80% Merino Wolle, 20% Seide",https://www.wollplatz.de/wolle/katia/katia-silky-lace
Katia Tencel-Cotton 001 White,in stock,"3,44",3-4 mm,"67% Lyocell, 33% Baumwolle",https://www.wollplatz.de/wolle/katia/katia-tencel-cotton
Katia Tout de Suite 100 White,in stock,"9,34",12-15 mm,"80% Acryl, 20% Wolle",https://www.wollplatz.de/wolle/katia/katia-tout-de-suite
Katia Twisted Paint 153 Brown / Aqua Blue,out of product range,"8,80","6-6,5 mm",100% Acryl,https://www.wollplatz.de/wolle/katia/katia-twisted-paint
Katia Ultralight Merino 050 Blue,out of product range,"7,38",6-7 mm,"93% Merinowolle, 7% Polyamid ",https://www.wollplatz.de/wolle/katia/katia-ultralight-merino
Katia Ultrasoft 50 Off-white,5 left,"5,41","3-3,5 mm",100% Baumwolle,https://www.wollplatz.de/wolle/katia/katia-ultrasoft
Katia Veganette 100 Brown / Mustard / Yellow,4 left,"5,41","4-4,5 mm","90% Baumwolle, 10% Polyamid",https://www.wollplatz.de/wolle/katia/katia-veganette
Katia Versailles 81 Silver-Off White,out of product range,"4,43","3,5-4 mm","97% Viskose, 2% Polyester, 1% Polyamid",https://www.wollplatz.de/wolle/katia/katia-versailles
Lana Grossa 365 Cotone 38,out of product range,"4,87","4,5-5 mm","88% Katoen, 12% Polyamide",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-365-cotone
Lana Grossa 365 Yak 27,out of product range,"6,84","5-5,5 mm","66% Baumwolle, 12% Yak, 22% Polyamid",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-365-yak
Lana Grossa A Mano 003 Green / Soft Yellow / Grey,out of product range,"4,87","4,5-5 mm",100% Biologische Baumwolle,https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-a-mano
Lana Grossa About Berlin Funky 002 Cream,out of product range,"6,84",4.5-5 mm,"83% Baumwolle, 17% Polyamid ",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-about-berlin-funky
Lana Grossa Alcanto 1 Light Beige,out of product range,"7,82",7-8 mm,"70% Polyester, 30% Polyamide",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-alcanto
Lana Grossa Alpaca Peru 200 210 Taupe,out of product range,"8,80","3,5 mm",100% Alpakawolle,https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-alpaca-peru-200
Lana Grossa Alta Moda Alpaca 58,out of product range,"6,84",5-6 mm,"90% Baby Alpaca, 5% Scheerwol, 5% Polyamide",https://www.wollplatz.de/wolle/lana-grossa/lanagrossa-altamodaalpaca
Lana Grossa Anima 05 Dark Red Mottled,1 left,"7,82",5 - 6 mm,"15% Polyamid, 34% Baumwolle, 51% Alpakawolle",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-anima
Lana Grossa Arioso 16,out of product range,"7,82",6 mm,46% Baby alpaca - 30% Merino wol - 24% Nylon,https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-arioso
Lana Grossa Benessere 009 Yellow Green,out of product range,"6,84",6-7 mm,"45% Baumwolle, 32% Alpakawolle, 23% Polyamid",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-benessere
Lana Grossa Bingo 1 Light Grey Mottled,out of product range,"5,85","4,5-5,5 mm",100% Merinowolle,https://www.wollplatz.de/wolle/lana-grossa/lanagrossa-bingo
Lana Grossa Bingo Mélange,26 left,"5,85","4,5-5,5 mm",100% Merinowolle,https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-bingo-melange
Lana Grossa Brigitte No.2 001 Green,in stock,"8,36","6-6,5 mm","47% Alpakawolle, 45% Baumwolle, 8% Wolle",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-brigitte-no-2
Lana Grossa Brigitte No.3 1 Yellow,in stock,"6,84","5,5-6 mm","40% Mohair, 37% Merinowolle, 23% Polyamid",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-brigitte-no-3
Lana Grossa Capri 001 White,in stock,"5,41","3,5-4 mm","55% Baumwolle, 30% Polyamid, 15% Seide",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-capri
Lana Grossa Cashseta 1 Light Green,34 left,"6,84",7 mm,"40% Modal, 30% Polyamid, 15% Kaschmir, 15% Seide",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-cashseta
Lana Grossa Certo 001 Orange,out of product range,"5,85","6-6,5 mm",100% Baumwolle,https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-certo
Lana Grossa Chilly 001 Nature,1 left,"6,84",6-7 mm,100% Leinen,https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-chilly
Lana Grossa Cloud 28 Terracotta,out of product range,"7,82",8-9 mm,"80% Alpaca, 14% Merino wol, 6% Polyamide",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-cloud
Lana Grossa Cool Air 5 Dark Red,out of product range,"7,82",6-7 mm,"55% Merinowolle, 33% Alpacawolle, 12% Polyamid",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-cool-air
Lana Grossa Cool Cotton 9 Orange,out of product range,"4,43","5-5,5 mm","93% Baumwolle, 7% Polyester (Elitè)",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-cool-cotton
Lana Grossa Cool Wool 411 Vanilla ,in stock,"5,85","3-3,5 mm",100% Merinowolle,https://www.wollplatz.de/wolle/lana-grossa/lanagrossa-merinosuperfein
