,Stock,Price,Needle strength,Compilation,URL
Lana Grossa Alta Moda Cotolana 001 Yellow,in stock,"6,39","4,5 - 5 mm","45% Katoen, 45% Scheerwol Merino & 10% Polyamide",https://www.wollplatz.de/wolle/lana-grossa-alta-moda-cotolana
Lana Grossa Più Bella 001 Rohweiß,in stock,"7,82",5 mm,"50% alpaca, 20% polyamide, 15% kasjmier, 6% merinowol",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-piu-bella
Lana Grossa Solo Lino Print 157 Light Beige / Rose / Carnation / Antique Pink,in stock,"11,75",3.5 - 4 mm,80% Gerecycleerde linnen (viscose) & 20% Linnen,https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-solo-lino-print
Lana Grossa Aruba 005 Natural / Pale Orange / Light Grey / Anthracite,out of product range,"11,75",3.5 - 4 mm,72% Biologisch katoen & 28% Gerecycled polyamide,https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-aruba
Lana Grossa Mare 001 Reed / peach / salmon / orange / light gray / rose pink,in stock,"15,69",3-3.5 mm,"50% Linnen, 33% Zijde & 17% Katoen",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-mare
Lana Grossa Terra 001 Rose,in stock,"4,87",3.5 mm,58% Linnen & 42% Katoen,https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-terra
Durable Macramé Neue Farben Garnpaket,in stock,"32,36",4-5 mm,100% Baumwolle,https://www.wollplatz.de/pakete/durable-macrame-neue-farben-garnpaket
Durable Double Four Neue Farben Garnpaket,in stock,"25,96","4,5-5 mm",100% Baumwolle,https://www.wollplatz.de/pakete/durable-double-four-neue-farben-garnpaket
Durable Cosy Extra Fine Neue Farben Garnpaket,in stock,"30,49",3-4 mm,"58% Baumwolle, 42% Acryl",https://www.wollplatz.de/pakete/durable-cosy-extra-fine-neue-farben-garnpaket
Durable Cosy Fine Neue Farben Garnpaket,in stock,"24,39","4 - 4,5 mm","58% Baumwolle, 42% Polyacryl ",https://www.wollplatz.de/pakete/durable-cosy-fine-neue-farben-garnpaket
Durable Cosy Neue Farben Garnpaket,in stock,"24,78",5-7 mm,"50% Baumwolle, 50% Polyacryl",https://www.wollplatz.de/pakete/durable-cosy-neue-farben-garnpaket
Katia Twist 001 White (pro 10 Stück),out of product range,"18,69",4-4.5-5 mm,100% Acryl,https://www.wollplatz.de/wolle/katia/katia-twist-pro-10-stueck
Katia Boomer 100 Wasserblau-Rosé-Hellorange ,out of product range,"12,74",5 - 6 mm,80% Acryl & 20% Wol,https://www.wollplatz.de/wolle/katia/katia-boomer
Katia Magic Ring 100 White,in stock,"9,79",8 - 9 mm,no data,https://www.wollplatz.de/wolle/katia/katia-magic-ring
Katia Sinfonia 203,in stock,"20,60","3-3,5 mm","29% Baumwolle, 25% Alpaka, 25% Wolle, 21% Polyamid",https://www.wollplatz.de/wolle/katia/katia-sinfonia
Stylecraft Charm 3623 Sunset,123 left,"17,65","3,5-5 mm","85% Premium Acryl, 10% Wolle, 5% Mohair",https://www.wollplatz.de/wolle/stylecraft/stylecraft-charm
Schachenmayr Catania Box Pastelltöne,in stock,"78,63",no data,no data,https://www.wollplatz.de/pakete/garnpakete/schachenmayr-catania-box-pastelltoene
Schachenmayr Catania Box Strahlende Farben,in stock,"78,63",no data,no data,https://www.wollplatz.de/pakete/garnpakete/schachenmayr-catania-box-strahlende-farben
Lana Grossa Fashion Tweed 002 Eggplant,out of product range,"6,84",4-5 mm,"71% Merinowolle, 17% Baby Alpaka, 12% Polyamid",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-fashion-tweed
Lana Grossa Gomitolo Maya 851 Green/petrol/brown/salmon/orange/yellow/turquoise/royal,out of stock for now,"19,62",4.5-5 mm,"60% Virgin Wool, 40% Polyacryl",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-gomitolo-maya
Lana Grossa Meilenweit 6-Fach 150 Mouliné 8501,in stock,"10,77",3-4 mm,"80% Wolle, 20% Polyamid ",https://www.wollplatz.de/wolle/lana-grossa-meilenweit-6-fach-150-mouline
Lana Grossa Meilenweit 6-Fach 150 Denim Mix 9541,in stock,"10,77",3-4 mm,no data,https://www.wollplatz.de/wolle/lana-grossa-meilenweit-6-fach-150-denim-mix
Lana Grossa Meilenweit 100 Merino Christmas 6766,in stock,"8,80",2.5-3 mm,"80% Scheerwol, 20% Polyamide",https://www.wollplatz.de/wolle/lana-grossa-meilenweit-100-merino-christmas
Lana Grossa Meilenweit 100 Merino Christmas Lurex 6763,out of stock for now,"8,80",2.5-3 mm,"80% Scheerwol, 20% Polyamide",https://www.wollplatz.de/wolle/lana-grossa-meilenweit-100-merino-christmas-lurex
Yarn and Colors Epic Color Pack 001,in stock,"19,67",5 mm mm,100% Baumwolle,https://www.wollplatz.de/pakete/garnpakete/yarn-and-colors-epic-color-pack
Yarn and Colors Must-have Color Pack 001,in stock,"23,60","2-3,5 mm mm",100% Baumwolle,https://www.wollplatz.de/pakete/garnpakete/yarn-and-colors-must-have-color-pack
Stylecraft You & Me DK 3764 Ava,in stock,"5,85",4 mm,,https://www.wollplatz.de/wolle/stylecraft/stylecraft-you-me-dk
