,stock,price,needle strength,compilation,url
Katia Genesis 300 Turquoise / Light Orange / Bleach Red / Green,"
Lieferbar
","17,65",3-3.5 mm,50% Gerecycled Polyester & 50% Katoen,https://www.wollplatz.de/wolle/katia/katia-genesis
Phildar Phil Perle 5 2014 Blanc,"
Lieferbar
","3,24","2 - 2,5 mm",100% Baumwolle,https://www.wollplatz.de/artikel/41461/phildar-phil-perle-5.html
Katia Seacell Cotton 100 White,"
Lieferbar
","5,85",3.5 - 5 mm,75% Katoen & 25% Lyocell,https://www.wollplatz.de/wolle/katia/katia-seacell-cotton
Phildar Phil Tutti Frutti 1089 Aqua,"
Lieferbar
","5,69",4 mm,"40% katoen, 60% polyamide",https://www.wollplatz.de/wolle/phildar/phildar-phil-tutti-frutti
Phildar Phil Ocean 1089 Jean Bleached,"
Lieferbar
","5,40",3.5 mm,"51% katoen, 49% polyester",https://www.wollplatz.de/wolle/phildar/phildar-phil-ocean
Katia Re-Tape Craft 300 Fuchsia / Ocher / Water Blue / White,"
Der Artikel ist nicht mehr im Sortiment und kann nicht mehr bestellt werden. 
","5,89","5,5-6 mm",50% Gerecycled Katoen & 50% Gerecycled polyster uit plastic flessen,https://www.wollplatz.de/wolle/katia/katia-re-tape-craft
Phildar Phil Green 1225 Blanc,"
Lieferbar
","5,89",5 mm,"70% biologisch katoen, 30% gerecyclede polyamide",https://www.wollplatz.de/wolle/phildar/phildar-phil-green
Katia 10 Shiny Shades 10 Grey,"
Der Artikel ist nicht mehr im Sortiment und kann nicht mehr bestellt werden. 
","4,87",no data,70% Viscose & 30% Polyester,https://www.wollplatz.de/wolle/katia/katia-10-shiny-shades
Katia Marmara 100 Blue / Rust Brown / Dark Blue,"
Lieferbar
","5,85",4 - 5 mm,"65% Katoen, 23% Zijde & 12% Viscose",https://www.wollplatz.de/wolle/katia/katia-marmara
Katia Bereber 70 Medium Green / Blue / White,"
Lieferbar
","4,87",3 - 4 mm,"75% Katoen, 18% Viscose Ecovero, 5% Polyester & 2% Gemetalliseerd Polyester",https://www.wollplatz.de/wolle/katia/katia-bereber
Phildar Phil Eucalyptus 1149 Rose Des Sables,"
Lieferbar
","6,38",6 mm,100% lyocell (eucalyptus),https://www.wollplatz.de/wolle/phildar/phildar-phil-eucalyptus
Katia Linum 50 Ecru,"
Lieferbar
","5,85","4,5 - 5,5 mm","70% Katoen, 20% Gerecycled Linnen & 10% Polyamide",https://www.wollplatz.de/wolle/katia/katia-linum
Phildar Phil Bonbon 1019 Zeste,"
Lieferbar
","5,89",7 mm,"38% Acryl, 34% Katoen & 28% Polyamide",https://www.wollplatz.de/wolle/phildar/phildar-phil-bonbon
Phildar Phil Berlingot 2019 Pollen,"
Lieferbar
","4,42",3.5 mm,"60% Katoen, 8% Polyester & 32% Viscose",https://www.wollplatz.de/wolle/phildar/phildar-phil-berlingot
Lana Grossa Cotone 001 Rose,"
Begrenzter Vorrat: 9
","2,41",2.5 - 3.5 mm,100% Baumwolle,https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-cotone
Lana Grossa Jolie 001 White,"
Lieferbar
","5,85",5 - 5.5 mm,75% Katoen & 25% Polyamide,https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-jolie
Lana Grossa Cara 01 Pale Yellow,"
Lieferbar
","7,82",4-4.5 mm,"57% alpacawol, 33% katoen, 10% merinowol",https://www.wollplatz.de/wolle/lana-grossa-cara
Lana Grossa Ecopuno Dégradé 401,"
Lieferbar
","18,64",4-4.5 mm,"70% Katoen, 19% Merino Wol, 11% Alpaca",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-ecopuno-degrade
Lana Grossa Alta Moda Cotolana 001 Yellow,"
Lieferbar
","6,39","4,5 - 5 mm","45% Katoen, 45% Scheerwol Merino & 10% Polyamide",https://www.wollplatz.de/wolle/lana-grossa-alta-moda-cotolana
Lana Grossa Più Bella 001 Rohweiß,"
Lieferbar
","7,82",5 mm,"50% alpaca, 20% polyamide, 15% kasjmier, 6% merinowol",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-piu-bella
Lana Grossa Solo Lino Print 157 Light Beige / Rose / Carnation / Antique Pink,"
Lieferbar
","11,75",3.5 - 4 mm,80% Gerecycleerde linnen (viscose) & 20% Linnen,https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-solo-lino-print
Lana Grossa Aruba 005 Natural / Pale Orange / Light Grey / Anthracite,"
Der Artikel ist nicht mehr im Sortiment und kann nicht mehr bestellt werden. 
","11,75",3.5 - 4 mm,72% Biologisch katoen & 28% Gerecycled polyamide,https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-aruba
Lana Grossa Mare 001 Reed / peach / salmon / orange / light gray / rose pink,"
Lieferbar
","15,69",3-3.5 mm,"50% Linnen, 33% Zijde & 17% Katoen",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-mare
Lana Grossa Terra 001 Rose,"
Lieferbar
","4,87",3.5 mm,58% Linnen & 42% Katoen,https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-terra
Durable Macramé Neue Farben Garnpaket,"
Lieferbar
","32,36",4-5 mm,100% Baumwolle,https://www.wollplatz.de/pakete/durable-macrame-neue-farben-garnpaket
Durable Double Four Neue Farben Garnpaket,"
Lieferbar
","25,96","4,5-5 mm",100% Baumwolle,https://www.wollplatz.de/pakete/durable-double-four-neue-farben-garnpaket
Durable Cosy Extra Fine Neue Farben Garnpaket,"
Lieferbar
","30,49",3-4 mm,"58% Baumwolle, 42% Acryl",https://www.wollplatz.de/pakete/durable-cosy-extra-fine-neue-farben-garnpaket
Durable Cosy Fine Neue Farben Garnpaket,"
Lieferbar
","24,39","4 - 4,5 mm","58% Baumwolle, 42% Polyacryl ",https://www.wollplatz.de/pakete/durable-cosy-fine-neue-farben-garnpaket
Durable Cosy Neue Farben Garnpaket,"
Lieferbar
","24,78",5-7 mm,"50% Baumwolle, 50% Polyacryl",https://www.wollplatz.de/pakete/durable-cosy-neue-farben-garnpaket
Katia Twist 001 White (pro 10 Stück),"
Der Artikel ist nicht mehr im Sortiment und kann nicht mehr bestellt werden. 
","18,69",4-4.5-5 mm,100% Acryl,https://www.wollplatz.de/wolle/katia/katia-twist-pro-10-stueck
Katia Boomer 100 Wasserblau-Rosé-Hellorange ,"
Der Artikel ist nicht mehr im Sortiment und kann nicht mehr bestellt werden. 
","12,74",5 - 6 mm,80% Acryl & 20% Wol,https://www.wollplatz.de/wolle/katia/katia-boomer
Katia Magic Ring 100 White,"
Lieferbar
","9,79",8 - 9 mm,no data,https://www.wollplatz.de/wolle/katia/katia-magic-ring
Katia Sinfonia 203,"
Lieferbar
","20,60","3-3,5 mm","29% Baumwolle, 25% Alpaka, 25% Wolle, 21% Polyamid",https://www.wollplatz.de/wolle/katia/katia-sinfonia
Stylecraft Charm 3623 Sunset,"
Begrenzter Vorrat: 123
","17,65","3,5-5 mm","85% Premium Acryl, 10% Wolle, 5% Mohair",https://www.wollplatz.de/wolle/stylecraft/stylecraft-charm
Schachenmayr Catania Box Pastelltöne,"
Lieferbar
","78,63",no data,no data,https://www.wollplatz.de/pakete/garnpakete/schachenmayr-catania-box-pastelltoene
Schachenmayr Catania Box Strahlende Farben,"
Lieferbar
","78,63",no data,no data,https://www.wollplatz.de/pakete/garnpakete/schachenmayr-catania-box-strahlende-farben
Lana Grossa Fashion Tweed 002 Eggplant,"
Der Artikel ist nicht mehr im Sortiment und kann nicht mehr bestellt werden. 
","6,84",4-5 mm,"71% Merinowolle, 17% Baby Alpaka, 12% Polyamid",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-fashion-tweed
Lana Grossa Gomitolo Maya 851 Green/petrol/brown/salmon/orange/yellow/turquoise/royal,"
Halten Sie mich auf dem Laufenden Senden Sie mir eine E-Mail, wenn das Produkt verfügbar ist
Senden

","19,62",4.5-5 mm,"60% Virgin Wool, 40% Polyacryl",https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-gomitolo-maya
Lana Grossa Meilenweit 6-Fach 150 Mouliné 8501,"
Lieferbar
","10,77",3-4 mm,"80% Wolle, 20% Polyamid ",https://www.wollplatz.de/wolle/lana-grossa-meilenweit-6-fach-150-mouline
Lana Grossa Meilenweit 6-Fach 150 Denim Mix 9541,"
Lieferbar
","10,77",3-4 mm,no data,https://www.wollplatz.de/wolle/lana-grossa-meilenweit-6-fach-150-denim-mix
Lana Grossa Meilenweit 100 Merino Christmas 6766,"
Lieferbar
","8,80",2.5-3 mm,"80% Scheerwol, 20% Polyamide",https://www.wollplatz.de/wolle/lana-grossa-meilenweit-100-merino-christmas
Lana Grossa Meilenweit 100 Merino Christmas Lurex 6763,"
Halten Sie mich auf dem Laufenden Senden Sie mir eine E-Mail, wenn das Produkt verfügbar ist
Senden

","8,80",2.5-3 mm,"80% Scheerwol, 20% Polyamide",https://www.wollplatz.de/wolle/lana-grossa-meilenweit-100-merino-christmas-lurex
Yarn and Colors Epic Color Pack 001,"
Lieferbar
","19,67",5 mm mm,100% Baumwolle,https://www.wollplatz.de/pakete/garnpakete/yarn-and-colors-epic-color-pack
Yarn and Colors Must-have Color Pack 001,"
Lieferbar
","23,60","2-3,5 mm mm",100% Baumwolle,https://www.wollplatz.de/pakete/garnpakete/yarn-and-colors-must-have-color-pack
Stylecraft You & Me DK 3764 Ava,"
Lieferbar
","5,85",4 mm,,https://www.wollplatz.de/wolle/stylecraft/stylecraft-you-me-dk
Stylecraft Wondersoft Merry Go Round DK 3119 Pink/Lilac,"
Lieferbar
","5,65",4 mm,100% Premium Acryl,https://www.wollplatz.de/wolle/stylecraft/stylecraft-wondersoft-merry-go-round-dk
Stylecraft Special XL Tweed Super Chunky 1099 Grey,"
Lieferbar
","4,13",10 mm,"97% Premium Acryl, 3% Viskose",https://www.wollplatz.de/wolle/stylecraft/stylecraft-special-xl-tweed-super-chunky
Stylecraft Special for Babies Aran 1230 Pink,"
Lieferbar
","3,39",5 mm,100% Premium Acryl,https://www.wollplatz.de/wolle/stylecraft/stylecraft-special-for-babies-aran
Stylecraft Special Chunky 1001 White,"
Lieferbar
","3,05",6 mm,100% Premium Acryl,https://www.wollplatz.de/wolle/stylecraft/stylecraft-special-chunky
Stylecraft Special Aran with Wool - Marl shades 5512 Magpie Marl,"
Lieferbar
","16,52",5 mm,"77% Premium Acryl, 20% Wol, 3% Viscose",https://www.wollplatz.de/wolle/stylecraft/stylecraft-special-aran-with-wool-marl-shades
Stylecraft Special Aran with Wool - Nepp shades 2429 Duck Egg Nepp,"
Lieferbar
","16,52",5 mm,"77% Premium Acryl, 20% Wol, 3% Viscose",https://www.wollplatz.de/wolle/stylecraft/stylecraft-special-aran-with-wool-nepp-shades
Stylecraft Special Aran with Wool 2424 Ocean,"
Lieferbar
","16,52",5 mm,"80% Premium Acryl, 20% Wol",https://www.wollplatz.de/wolle/stylecraft/stylecraft-special-aran-with-wool
